"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Subcategory Image","Subcategoría Imagen"
"Used if parent category Layout was set to Subcategories with Images.","Se utiliza si el diseño de la categoría principal se configuró en Subcategorías con imágenes."
"Browse to find or drag image here","Busque o arrastre la imagen aquí"
"Exclude from Sitemap","Excluir del mapa del sitio"
"Enable Index Follow","Habilitar seguimiento de índice"
"Enable Canonical Url","Habilitar URL canónica"
"Custom Global CSS","CSS global personalizado"
"Custom CSS for XXS screen size","CSS personalizado para tamaño de pantalla XXS"
"Configure breakpoints in WeltPixel > Frontend Options > Breakpoints","Configurar puntos de interrupción en WeltPixel > Opciones de frontend > Puntos de interrupción"
"Custom CSS for XS screen size","CSS personalizado para tamaño de pantalla XS"
"Custom CSS for S screen size","CSS personalizado para tamaño de pantalla S"
"Custom CSS for M screen size","CSS personalizado para tamaño de pantalla M"
"Custom CSS for L screen size","CSS personalizado para tamaño de pantalla L"
"Custom CSS for XL screen size","CSS personalizado para tamaño de pantalla XL"
"Custom Js","JS Personalizado"
"WeltPixel Mega Menu Options","Opciones del megamenú de WeltPixel"
"Some <strong>Mega Menu Options</strong> are available only for the main categories.","Algunas <strong>opciones del Mega Menú</strong> solo están disponibles para las categorías principales."
"Font Color","Color de fuente"
"Set a custom Font Color that applies only to this specific Category.","Establezca un color de fuente personalizado que se aplique solo a esta categoría específica."
"Font Hover Color","Color al pasar el cursor sobre la fuente"
"Set a custom Hover Font Color that applies only to this specific Category.","Establezca un color de fuente flotante personalizado que se aplique solo a esta categoría específica."
"Mega Menu Category Text","Texto de categoría del mega menú"
"Mega Menu Label Text","Texto de la etiqueta del mega menú"
"This option enables you to add a custom label to this specific Category. Example: SALE","Esta opción le permite agregar una etiqueta personalizada a esta categoría específica. Ejemplo: VENTA"
"Mega Menu Label Font Color","Color de fuente de la etiqueta del mega menú"
"Choose the Label Font Color for this specific Category.","Elija el color de fuente de la etiqueta para esta categoría específica."
"Mega Menu Label Background Color","Color de fondo de la etiqueta del mega menú"
"Choose the Label Background Color for this specific Category.","Elija el color de fondo de la etiqueta para esta categoría específica."
"Mega Menu Label Position","Posición de la etiqueta del Mega Menú"
"Choose the Label Position for this specific Category.","Elija la posición de la etiqueta para esta categoría específica."
"Center-Right","Centro-derecha"
"Top-Right","Arriba a la derecha"
"[STORE VIEW]","[VISTA DE LA TIENDA]"
"Most Relevant","Lo más relevante"
"Alphabetically (A to Z)","Alfabéticamente (A a Z)"
"Alphabetically (Z to A)","Alfabéticamente (Z a A)"
"Price (Low to High)","Precio (de menor a mayor)"
"Price (High to Low)","Precio (de mayor a menor)"
"Newest Arrivals","Últimas llegadas"
"Best Selling","Los más vendidos"
"Top Rated","Los mejor valorados"
"Most Reviewed","Más reseñados"
"Search","Buscar"
"Custom Pearl Theme for Magento 2","Tema Pearl personalizado para Magento 2"
"Dimagraf Theme for Magento 2","Tema Dimagraf para Magento 2"
"Magento Blank","Magento en blanco"
"Pearl Theme for Magento 2","Tema Pearl para Magento 2"
"Empty","Vacío"
"1 column","1 columna"
"2 columns with left bar","2 columnas con barra izquierda"
"2 columns with right bar","2 columnas con barra derecha"
"3 columns","3 columnas"
"Page -- Full Width","Página -- Ancho completo"
"Category -- Full Width","Categoría -- Ancho completo"
"Product -- Full Width","Producto - Ancho completo"
"Fullscreen","Pantalla completa"
"Custom Layout Update","Actualización de diseño personalizado"
"No update","Sin actualización"
"Customer Group Catalog","Catálogo de grupos de clientes"
"Rules","Reglas"
"Get a Quote Requests","Solicitudes de Cotización"
"WeltPixel Social Login","Inicio de sesión social de WeltPixel"
"Social Login Accounts","Cuentas de inicio de sesión social"
"Amasty Company Accounts","Cuentas de la empresa Amasty"
"Manage Companies","Gestionar Empresas"
Manage Companies,Gestionar Empresas
"Amasty Customer Group Auto Assign","Asignación automática de grupos de clientes de Amasty"
"Amasty Customer Group Catalog Rules","Normas del catálogo del grupo de clientes de Amasty"
"Rule ID","ID de Regla"
"Hide Price","Ocultar Precio"
"Allow Direct Links","Permitir enlaces directos"
"Request ID","ID de Solicitud"
"Product Id","ID de Producto"
"Social Profile ID","ID de Perfil Social"
"Company Accounts","Cuentas de la Empresa"
"Destination Group","Grupo de destino"
"Asset","Activo"
"Asset Title","Título de Activo"
"Start typing to find assets","Comience a escribir para encontrar activos"
"Save View As...","Guardar vista como..."
"Privacy Policy","Política de Privacidad"
"Created For","Creado Para"
"Any","Cualquiera"
"Page","Página"
"Product","Producto"
"Category","Categoría"
"Block","Bloque"
"Sort by","Ordenar por"
"Newest first","Lo más nuevo primero"
"Oldest first","El más antiguo primero"
"Directory: Descending","Directorio: Descendente"
"Directory: Ascending","Directorio: Ascendente"
"Name: A a Z","Nombre: A a Z"
"Name: Z to A","Nombre: Z a A"
"Uploaded Date","Fecha de carga"
"Modification Date","Fecha de modificación"
"License Status","Estado de la licencia"
"Licensed","Con licencia"
"Unlicensed","Sin licencia"
"Source","Fuente"
"Uploaded Locally","Cargado localmente"
"Used in Categories","Usado en categorías"
"Used in Products","Utilizado en productos"
"Used in Pages","Usado en páginas"
"Start typing to find pages","Empieza a escribir para encontrar páginas"
"Used in Blocks","Utilizado en bloques"
"Start typing to find blocks","Empieza a escribir para encontrar bloques."
"Show Images Used In","Mostrar imágenes utilizadas en"
"Content Status","Estado del contenido"
"Show duplicates","Mostrar duplicados"
"Pages","Páginas"
"Categories","Categorías"
"Blocks","Bloques"
"Products","Productos"
"Not used anywhere","No se utiliza en ningún lugar"
"Search Adobe Stock","Buscar en Adobe Stock"
"Manage Gallery","Administrar galería"
"A technical problem with the server created an error. Try again to continue what you were doing. If the problem persists, try again later.","Un problema técnico con el servidor generó un error. Inténtalo de nuevo para continuar con lo que estabas haciendo. Si el problema persiste, inténtalo más tarde."
"Amasty Multiple Wishlist","Lista de deseos múltiple de Amasty"
"Most Wanted Items in Lists","Artículos más buscados en las listas"
"Most Purchased Items from Lists","Artículos más comprados de las listas"
"Braintree Settlement","Asentamiento de Braintree"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Última actualización: %1. Para actualizar las <a href=""%2"">estadísticas</a> del último día, haga clic <a href=""%3"">aquí</a>."
"Orders Placed from Lists","Pedidos realizados desde listas"
"Qty Purchased from Lists","Cantidad comprada de listas"
"Total number of Lists the item is present in","Número total de listas en las que está presente el elemento"
"Number of Wish Lists","Número de listas de deseos"
"Last time added on","Última vez añadido el"
"Stock Qty","Cantidad de existencias"
"Cancel Orders","Órdenes canceladas"
"Color Swatches Pro","Muestras de color Pro"
"Company Account","Cuenta de la empresa"
"Customer Group Assign","Asignación de grupo de clientes"
"Google Account Login","Iniciar sesión en la cuenta de Google"
"Multiple Wishlist","Lista de favoritos múltiple"
"Sales Reps and Dealers","Representantes de ventas y distribuidores"
"Shipping Area","Área de envío"
"Settings & Notifications","Configuración y notificaciones"
"Amasty Marketplace","Mercado de Amasty"
"Get Support","Obtener soporte"
"User Guide","Guía del usuario"
"Manage Companies","Gestionar empresas"
"Customer Groups Update Schedule","Programación de actualizaciones de grupos de clientes"
"Enter cron expression<br/>
 <br/>
 * * * * *<br/>
 | | | | |<br/>
 | | | | +---- Day of the Week   (range: 0-6, 1 standing for Monday)<br/>
 | | | +------ Month of the Year (range: 1-12)<br/>
 | | +-------- Day of the Month  (range: 1-31)<br/>
 | +---------- Hour              (range: 0-23)<br/>
 +------------ Minute            (range: 0-59)<br/>
 Example: 0 0 * * * Daily at midnight<br/>
 <br/>
 Read more about cron expressions - <a href="https://en.wikipedia.org/wiki/Cron">here</a>","Ingresar expresión cron<br/>
                                                                                            <br/>
                                                                                            * * * * *<br/>
                                                                                            | | | | |<br/>
                                                                                            | | | | +---- Día de la semana (rango: 0-6, 1 representa el lunes)<br/>
                                                                                            | | | +------ Mes del año (rango: 1-12)<br/>
                                                                                            | | +-------- Día del mes (rango: 1-31)<br/>
                                                                                            | +---------- Hora (rango: 0-23)<br/>
                                                                                            +------------ Minuto (rango: 0-59)<br/>
                                                                                            Ejemplo: 0 0 * * * Diariamente a medianoche<br/>
                                                                                            <br/>
                                                                                            Más información sobre expresiones cron: <a href="https://en.wikipedia.org/wiki/Cron">aquí</a>"
"Export Customers","Clientes de exportación"
"Enable module","Habilitar módulo"
"Enable Module","Habilitar módulo"
"Email Sender for Admin 'Get a Quote' Reply Email","Remitente de correo electrónico para la respuesta ""Obtener una cotización"" del admin"
"Email Template for Admin 'Get a Quote' Reply Email","Plantilla de correo electrónico para la respuesta ""Solicitar cotización"" del admin"
"Email template chosen based on theme fallback when ""Default"" option is selected","Plantilla de correo electrónico elegida según el tema de respaldo cuando se selecciona la opción ""Predeterminado"""
"Batch Size","Tamaño del lote"
"Indicates how many rules will be handled during one indexation iteration. Affects the indexation process speed and server memory consumption.","Indica cuántas reglas se gestionarán durante una iteración de indexación. Afecta la velocidad del proceso de indexación y el consumo de memoria del servidor."
"Frontend Options","Opciones de interfaz"
"Hide Price Text","Ocultar texto de precio"
"Display the above text when price is hidden, e.g. ‘Call for Price’","Mostrar el texto anterior cuando el precio esté oculto, p. ej., ""Consultar precio"""
"Custom CSS Styles for Hide Price Link","Estilos CSS personalizados para ocultar el enlace de precio"
"Customize the CSS Styles for the Hide Price Link","Personalizar los estilos CSS para el enlace Ocultar precio"
"Show the uploaded image instead of price","Mostrar la imagen cargada en lugar del precio"
"Link Url","URL del enlace"
"Use text ‘AmastyHidePricePopup’ for opening Ajax Popup with a ‘Get a Quote’ form Insert the page URL to redirect customers to any page you need","Utilice el texto ""Amasty Hide Price Popup"" para abrir una ventana emergente Ajax con un formulario ""Obtener una cotización"" Inserte la URL de la página para redirigir a los clientes a cualquier página que necesite"
"Admin 'Get a Quote' Email Notifications","Notificaciones por correo electrónico de ""Obten una cotización"" del administrador"
"Send Email to","Enviar correo electrónico a"
"Leave Empty to Disable Notifications","Dejar vacío para desactivar las notificaciones"
"Auto Reply 'Get a Quote' Email Options","Opciones de correo electrónico de respuesta automática ""Obten una cotización"""
"Developer Options","Opciones de desarrollador"
"These options need to be changed if you are using a custom Magento theme","Estas opciones deben cambiarse si está utilizando un tema de Magento personalizado"
"Category Item Selector","Selector de elementos de categoría"
"Call for Price","Solicitar precio"
"GDPR Consent","Consentimiento del RGPD"
"Allow applying Store Credit on Tax","Permitir aplicación de crédito de la tienda en impuestos"
"Allow applying Store Credit on Shipping","Permitir aplicación de crédito de la tienda en el envío"
"Usage Configuration","Configuración de uso"
"Apply Store Credit to Specific Products","Aplicar crédito de la tienda a productos específicos"
"Select 'Yes' to make the store credit applicable to specific products.","Seleccione ""Sí"" para que el crédito de la tienda se aplique a productos específicos."
"Add Tooltip in Store Credit Block","Agregar información en el bloque de crédito de la tienda"
"Add a tooltip in the Store Credit block that will notify customers about details of Usage Configuration.","Agregue una información en el bloque de Crédito de la tienda que notificará a los clientes sobre los detalles de la configuración de uso."
"Encourage Using Store Credit","Fomentar el uso del crédito de la tienda"
"If set to ‘Yes’, the system will encourage customers to apply as much store credit as possible. ","Si se configura en ""Sí"", el sistema alentará a los clientes a solicitar la mayor cantidad posible de crédito en la tienda."
"Email Notification","Notificación por correo electrónico"
"Enable Store Credit Balance Update Email","Habilitar correo electrónico de actualización del saldo de crédito de la tienda"
"Send Email Actions","Acciones de envío de correo electrónico"
"Store Credit Reply To","Responder a Crédito de la tienda"
"Please note that the entered value must be unique, otherwise it may conflict with the Magento B2B Company feature.","Tenga en cuenta que el valor ingresado debe ser único; de lo contrario, podría entrar en conflicto con la función Empresa B2B de Magento."
"Allow Company Creation for Customer Group(s)","Permitir la creación de empresas para grupos de clientes"
"Approve Companies Automatically","Aprobar empresas automáticamente"
"If set to Yes, all new companies will automatically get Active status.","Si se establece en Sí, todas las empresas nuevas obtendrán automáticamente el estado Activo."
"Inactivate Customer upon Removing from Company Account","Desactivar al cliente al eliminarlo de la cuenta de la empresa"
"if disabled, the customer will still remain Active after being removed from Company in admin panel. Note: you can change Customer's Status on Customer edit page.","Si está deshabilitado, el cliente permanecerá activo después de ser eliminado de la empresa en el panel de administración. Nota: Puede cambiar el estado del cliente en la página de edición."
"Admin Notifications","Notificaciones de administrador"
"Email Receiver for 'New Company' Notifications","Receptor de correo electrónico para notificaciones de ""Nueva empresa"""
"Email Template for New Company Request","Plantilla de correo electrónico para solicitud de nueva empresa"
"Email Template for New Company Creation","Plantilla de correo electrónico para la creación de una nueva empresa"
"Email Template for Sales Representative Appointment","Plantilla de correo electrónico para la cita con un representante de ventas"
"Customer Notifications","Notificaciones al cliente"
"Email Template for Active Status","Plantilla de correo electrónico para estado Activo"
"Email Template for Inactive Status","Plantilla de correo electrónico para estado Inactivo"
"Email Template for Rejected Status","Plantilla de correo electrónico para estado rechazado"
"Email Template for Customer Linking to a Company","Plantilla de correo electrónico para Vincular a un Cliente con una Empresa"
"Email Template for Delete Company","Plantilla de correo electrónico para Eliminar Empresa"
"Email Template for New Company Administrator Appointment","Plantilla de correo electrónico para el nombramiento de un nuevo administrador de empresa"
"Email Template for Previous Company Administrator Unassignment","Plantilla de correo electrónico para la desasignación de un administrador anterior de la empresa"
"Email Template for Store Credit Changed by Admin","Plantilla de correo electrónico para crédito de la tienda modificada por el administrador"
"Email Template for Changes Applied to Overdraft Configuration","Plantilla de correo electrónico para los cambios aplicados a la configuración de sobregiro"
"Email Template for Overdraft Used","Plantilla de correo electrónico para sobregiro utilizada"
"Email Template for Overdue Overdraft Warning","Plantilla de correo electrónico para advertencia de sobregiro vencido"
"Company Account Status Set to Active (por defecto)","Estado de la cuenta de la empresa establecido en Activo (por defecto)"
"Company Account Status Active","Estado de la cuenta de la empresa activo"
"Company Account Status Set to Inactive (por defecto)","Estado de la cuenta de la empresa establecido como inactivo (por defecto)"
"Company Account Status Inctive","Estado de la cuenta de la empresa inactivo"
"Company Account Status Set to Rejected (por defecto)","Estado de la cuenta de la empresa establecido como rechazado (por defecto)"
"Customer is Linked to the Company (por defecto)","El cliente está vinculado a la empresa (por defecto)"
"Customer Disabled (por defecto)","Cliente deshabilitado (por defecto)"
"Company Administrator Appointment (por defecto)","Nombramiento de Administrador de la Empresa (por defecto)"
"Company Administrador Assignment","Asignación de Administrador de la Empresa"
"Company Administrator Unassignment (por defecto)","Administrador de la empresa Desasignación (por defecto)"
"Store Credit Changed by Admin (por defecto)","Crédito de la tienda modificado por el administrador (por defecto)"
"Update Crédito","Actualizar Crédito"
"Changes in Overdraft Configuration (por defecto)","Cambios en la configuración del sobregiro (por defecto)"
"Overdraft Used (por defecto)","Sobregiro utilizado (por defecto)"
"Overdue Penalty Applied to Overdraft (por defecto)","Penalización por vencimiento aplicada al sobregiro (por defecto)"
"Enable Admin Login with Google","Habilitar el inicio de sesión de administrador con Google"
"Click <a href="https://amasty.com/docs/doku.php?id=magento_2:google_account_login" target="_blank">here</a>  for further configuration instructions.","Haga clic <a href=""https://amasty.com/docs/doku.php?id=magento_2:google_account_login"" target=""_blank"">aquí</a> para obtener más instrucciones de configuración."
"Allow List Sharing via","Permitir compartir lista a través de"
"Send Price Alerts","Enviar alertas de precios"
"If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists.","Si esta opción está habilitada, los clientes recibirán notificaciones sobre los cambios en los precios de los productos en sus listas de deseos y solicitudes."
"Table Category Mode","Modo de categoría de tabla"
"Include tax in subtotal","Incluir impuestos en el subtotal"
"Use subtotal after discount","Utilice el subtotal después del descuento"
"Include tax in subtotal","Incluir impuestos en el subtotal"
"Use subtotal after discount","Utilice el subtotal después del descuento"
"Select the MSI Selection Algorithm","Seleccione el algoritmo de selección MSI"
"This setting works only for shipping restrictions based on the Source condition.","Esta configuración solo funciona para restricciones de envío basadas en la condición de origen."
"Distance Priority","Prioridad de distancia"
"Source Priority","Prioridad de fuente"
"Enable Using Share Link","Habilitar el uso de enlaces para compartir"
"Display Price of Simple Products in Swatch Title","Mostrar el precio de productos simples en el título de Swatch"
"Display Price of Simple Products in Drop-Downs","Mostrar el precio de productos simples en menús desplegables"
"Prices are displayed only if 'Dropdown' input type is set for all attributes represented on product page.","Los precios se muestran solo si el tipo de entrada ""Desplegable"" está configurado para todos los atributos representados en la página del producto."
"Don`t Show Price","No mostrar precio"
"Show Price Difference","Mostrar diferencia de precio"
"Show Actual Price","Mostrar precio real"
"Show Selected Option Swatch in Cart and Checkout","Mostrar la muestra de la opción seleccionada en el carrito y pagar"
"Change Main Product Image on Mouse Hover","Cambiar la imagen principal del producto al pasar el mouse"
"Show Out of Stock Configurable Attributes","Mostrar atributos configurables fuera de stock"
"Set 'No' to hide a simple option when all combinations of this option are out of stock, e.g. hide 'Red' option when all 'Size' combinations for 'Red' are out of stock. 'Yes' option works only if Stores - Catalog - Inventory - Stock Options: Display Out of Stock Products = Yes","Seleccione ""No"" para ocultar una opción simple cuando todas las combinaciones de esta opción estén agotadas; por ejemplo, ocultar la opción ""Rojo"" cuando todas las combinaciones de ""Tallas"" para ""Rojo"" estén agotadas. La opción ""Sí"" solo funciona si Tiendas - Catálogo - Inventario - Opciones de Stock: Mostrar Productos Agotados = Sí"
"Enable Zoom","Habilitar Zoom"
"Set 'No' to keep using the default zoom. Choose 'Yes' to get Zoom, Lightbox and Carousel functionality. On Mobile 'Zoom' feature is inactive if 'Lightbox' effect is enabled.","Seleccione ""No"" para seguir usando el zoom predeterminado. Seleccione ""Sí"" para obtener las funciones de Zoom, Lightbox y Carrusel. En dispositivos móviles, la función ""Zoom"" está inactiva si el efecto ""Lightbox"" está habilitado."
"Enable Product Image Flipper","Habilitar el volteador de imágenes del producto"
"Works on the category list and catalog search list","Trabaja en la lista de categorías y la lista de búsqueda del catálogo."
"Enable Slider for the Swatches","Habilitar el control deslizante para las muestras"
"Reloadable Information","Información recargable"
"Short Description","Descripción breve"
"Attributes block","Bloque de atributos"
"Note. Please enable ""Used in Product Listing"" setting for reloadable attribute.","Nota: Habilite la opción ""Usado en la lista de productos"" para el atributo recargable."
"Name Dom-Selector","Selector de nombres Dom"
"Description Dom-Selector","Descripción Dom-Selector"
"Short Description Dom-Selector","Descripción breve de Dom-Selector"
"Attributes Block Dom-Selector","Bloque de atributos Dom-Selector"
"SKU Dom-Selector","Selector de SKU Dom"
"Qty Increments Dom-Selector","Incrementos de cantidad Dom-Selector"
"Product Matrix","Matriz de productos"
"Display Last Attribute in Rows","Mostrar el último atributo en las filas"
"Preselect","Preseleccionar"
"Preselect for All Configurable Products","Preseleccionar para todos los productos configurables"
"Preselect on Category Page","Preseleccionar en la página de categoría"
"Please note that this setting may affect performance","Tenga en cuenta que esta configuración puede afectar el rendimiento."
"Zoom","Acercamiento"
"Zoom Type","Tipo de Acercamiento"
"Choose 'Outside' to show the zoomed product image in a separate window. Choose 'Inside' to display the zoomed elements of product right in the main product image window. On Mobile 'Zoom Type' = 'Lens' is used only.","Seleccione ""Exterior"" para mostrar la imagen ampliada del producto en una ventana independiente. Seleccione ""Interior"" para mostrar los elementos ampliados del producto directamente en la ventana principal. En dispositivos móviles, solo se utiliza ""Tipo de zoom"" = ""Lente""."
"Outside","Afuera"
"Inside","Adentro"
"Lens","Lentes"
"Enable Lightbox","Habilitar Lightbox"
"Enable Thumbnail Lightbox","Habilitar Lightbox de miniaturas"
"Endless Lightbox","Caja de luz sin fin"
"Choose 'Yes' to show the non-stop circle of images","Seleccione ""Sí"" para mostrar el círculo ininterrumpido de imágenes"
"Transition Effect between Slides","Efecto de transición entre diapositivas"
"Disappearance","Desaparición"
"Slide","Deslizar"
"Tube","Tubo"
"Zoom-in-out","Acercar y alejar"
"Rotate","Rotar"
"Open/close Animation Effect","Efecto de animación de apertura y cierre"
"Display Thumbnail Helper","Asistente para mostrar miniaturas"
"Set to 'Yes' to show the thumbnail helper in the lightbox.","Establezca en ""Sí"" para mostrar la ayuda de miniatura en el cuadro de luz."
"Carousel","Carrusel"
"Enable Carousel","Activar Carrusel"
"Main Image Change","Cambio de imagen principal"
"On Mouse Hover","Al pasar el ratón"
"On Click","Al hacer clic"
"Enable Swipe Effect for Main Image in Mobile","Habilitar el efecto de deslizamiento para la imagen principal en el móvil"
"Zoom effect will be disabled on mobile view","El efecto de zoom se desactivará en la vista móvil."
"Carousel position","Posición del carrusel"
"Under the main image","Debajo de la imagen principal"
"To the left of the main image","A la izquierda de la imagen principal"
"Qty of Visible Items","Cantidad de elementos visibles"
"Set how many items should be visible in the carousel at the same time. On mobile this setting is ignored and 3 items are visible.","Establece cuántos elementos deben estar visibles simultáneamente en el carrusel. En dispositivos móviles, esta configuración se ignora y solo se ven 3 elementos."
"Items Qty to Scroll","Artículos Cantidad para desplazarse"
"Endless Carousel","Carrusel sin fin"
"Set ‘Yes’ to endlessly list the product thumbnails in the carousel","Establezca ""Sí"" para enumerar infinitamente las miniaturas de productos en el carrusel"
"Set ‘Yes’ to display the pagination and arrows for the thumbnail carousel","Establezca ""Sí"" para mostrar la paginación y las flechas del carrusel de miniaturas"
"Automatic Scrolling","Desplazamiento automático"
"Default Dealer","Distribuidor predeterminado"
"All new orders will be assigned to this dealer except if a specific customer is already assigned to another dealer.","Todos los pedidos nuevos se asignarán a este distribuidor, excepto si un cliente específico ya está asignado a otro distribuidor."
"Send New Order Email to the Dealer","Enviar correo electrónico de nuevo pedido al distribuidor"
"Indicate `Yes` to send a copy of the order email to the associated dealer.","Indique ""Sí"" para enviar una copia del correo electrónico del pedido al distribuidor asociado."
"Show Re-assign Fields","Mostrar campos de reasignación"
"On the order view page in Backend.","En la página de vista de pedidos en Backend."
"Show From To","Mostrar desde hasta"
"From whom to whom re-assigned order.","¿De quién a quién se reasignó la orden?"
"Show Author of Message","Mostrar autor del mensaje"
"Hide the `Manage Customers` tab","Ocultar la pestaña ""Administrar clientes"""
"On the `Edit User` page (the `Edit Dealer` page).","En la página ""Editar usuario"" (la página ""Editar distribuidor"")."
"Allow Dealers to See All Customers and Orders","Permitir a los distribuidores ver a todos los clientes y pedidos"
"Indicate `Yes` to allow dealers to see all customers and orders in the system","Indique ""Sí"" para permitir que los distribuidores vean todos los clientes y pedidos en el sistema"
"Re-assigned Order Notifications","Notificaciones de órdenes reasignadas"
"Send Emails","Enviar correos electrónicos"
"Indicate `Yes` to send a notification about re-assigned order to the new and old dealers.","Indique ""Sí"" para enviar una notificación sobre el pedido reasignado a los distribuidores nuevos y antiguos."
"Dealer Can Assign Order to Other Dealers","El distribuidor puede asignar órdenes a otros distribuidores"
"Indicate `No` if you want dealer to assign orders to the store administrator only.","Indique ""No"" si desea que el distribuidor asigne pedidos únicamente al administrador de la tienda."
"Admin Name","Nombre del administrador"
"If an order assigned from a dealer to the store admin, email will be sent to this name.","Si un pedido se asigna desde un distribuidor al administrador de la tienda, se enviará un correo electrónico a este nombre."
"Admin Email","Correo electrónico del administrador"
"Remitente de correo electrónico","Remitente de correo electrónico"
"Allow Customers to Select a Dealer on Registration","Permitir a los clientes seleccionar un distribuidor en el registro"
"Allow Customers to Select a Dealer in Customer Account","Permitir a los clientes seleccionar un distribuidor en la cuenta del cliente"
"Show Dealer Description at Checkout","Mostrar descripción del distribuidor al finalizar la compra"
"Show Dealer Description in Customer Dashboard","Mostrar la descripción del concesionario en el panel del cliente"
"Enable 'Request a Quote'","Habilitar ""Solicitar una cotización"""
"Frontend Quote URL Key","Clave URL de cotización de frontend"
"Specified URL Key will be used for the Quote Cart ({url_key}/cart/) and ‘My Quotes’ ({url_key}/account/) pages on the frontend.","La clave URL especificada se utilizará para las páginas Carrito de cotizaciones ({url_key}/cart/) y ""Mis cotizaciones"" ({url_key}/account/) en la interfaz."
"'Add to Quote' button on Product Page","Botón ""Agregar a cotización"" en la página del producto"
"'Add to Quote' button on Category Page","Botón ""Agregar a cotización"" en la página de categorías"
"Disable Quotation for Categories","Deshabilitar citas para categorías"
"'Add to Quote' button will be hidden for each product from the selected categories. This setting is applied to product list and product page.","El botón ""Añadir a cotización"" estará oculto para cada producto de las categorías seleccionadas. Esta configuración se aplica a la lista y la página de productos."
"Allow Quote Request for Customer Groups","Permitir solicitud de cotización para grupos de clientes"
"Not Logged In","Sin sesión iniciada"
"If 'Not Logged In' option is chosen, please specify whether or not customer account should be created for guest automatically when the quote is submitted.","Si se elige la opción ""No iniciado sesión"", especifique si se debe crear o no una cuenta de cliente para el invitado automáticamente cuando se envía la cotización."
"Inform Guests","Informar a los huéspedes"
"Show 'Login for quote' button for guests","Mostrar el botón ""Iniciar sesión para cotizar"" para los invitados"
"Allow to Change Price in Quote Cart","Permitir cambiar precio en el carrito de cotizaciones"
"Cost Attribute","Atributo de costo"
"Label for Custom Shipping Method","Etiqueta para método de envío personalizado"
"Specify the name of custom shipping method.","Especifique el nombre del método de envío personalizado."
"Expiration & Reminder","Caducidad y recordatorio"
"Quote Expiration","Vencimiento de cotización"
"Set default period in days for quote to be valid once approved. For zero and higher this value can be set for each quote individually. Keep empty to disable this feature.","Establezca el periodo predeterminado en días para que la cotización sea válida una vez aprobada. Para valores de cero o superiores, este valor se puede configurar individualmente para cada cotización. Deje este campo en blanco para desactivar esta función."
"Send Reminder Email after Day(s)","Enviar correo electrónico recordatorio después de día(s)"
